LDA6Topic4,LDA9Topic2,LDA11Topic4,LDA11Topic10,LDA12Topic1,LDA12Topic2,LDA12Topic6,LDA12Topic11,LDA13Topic11,LDA14Topic10,LDA17Topic7,LDA17Topic12,LDA19Topic15
0.198113208,0.009174312,0.009009009,0.009009009,0.008928571,0.008928571,0.1875,0.008928571,0.274336283,0.00877193,0.008547009,0.008547009,0.008403361
0.186746988,0.00591716,0.239766082,0.532163743,0.005813953,0.005813953,0.005813953,0.005813953,0.005780347,0.005747126,0.005649718,0.005649718,0.005586592
0.027777778,0.794871795,0.756097561,0.024390244,0.023809524,0.023809524,0.023809524,0.023809524,0.023255814,0.022727273,0.021276596,0.021276596,0.020408163
0.006024096,0.00591716,0.005847953,0.532163743,0.005813953,0.005813953,0.180232558,0.005813953,0.005780347,0.005747126,0.231638418,0.005649718,0.005586592
0.0625,0.052631579,0.047619048,0.047619048,0.045454545,0.045454545,0.045454545,0.045454545,0.043478261,0.041666667,0.037037037,0.037037037,0.034482759
0.0625,0.052631579,0.047619048,0.047619048,0.045454545,0.045454545,0.045454545,0.045454545,0.043478261,0.041666667,0.037037037,0.037037037,0.034482759
0.891304348,0.020408163,0.019607843,0.019607843,0.019230769,0.019230769,0.019230769,0.019230769,0.018867925,0.018518519,0.01754386,0.01754386,0.016949153
0.0625,0.052631579,0.047619048,0.047619048,0.045454545,0.045454545,0.045454545,0.5,0.043478261,0.041666667,0.037037037,0.037037037,0.034482759
0.125183016,0.00073046,0.000729395,0.50401167,0.000728863,0.000728863,0.197521866,0.000728863,0.000728332,0.000727802,0.044299201,0.000726216,0.116751269
0.00862069,0.008403361,0.917355372,0.008264463,0.008196721,0.008196721,0.008196721,0.008196721,0.008130081,0.008064516,0.007874016,0.007874016,0.007751938
0.924242424,0.014492754,0.014084507,0.014084507,0.013888889,0.013888889,0.013888889,0.013888889,0.01369863,0.013513514,0.012987013,0.012987013,0.012658228
0.910714286,0.016949153,0.016393443,0.016393443,0.016129032,0.016129032,0.016129032,0.016129032,0.015873016,0.015625,0.014925373,0.014925373,0.014492754
0.027777778,0.025641026,0.756097561,0.024390244,0.023809524,0.023809524,0.023809524,0.023809524,0.023255814,0.022727273,0.021276596,0.021276596,0.020408163
0.027777778,0.025641026,0.024390244,0.024390244,0.023809524,0.023809524,0.023809524,0.023809524,0.023255814,0.704545455,0.021276596,0.021276596,0.020408163
0.12109375,0.003861004,0.003831418,0.003831418,0.041984733,0.805343511,0.003816794,0.003816794,0.003802281,0.003787879,0.003745318,0.041198502,0.003717472
0.038461538,0.379310345,0.677419355,0.032258065,0.03125,0.03125,0.03125,0.03125,0.03030303,0.029411765,0.027027027,0.027027027,0.025641026
0.027777778,0.025641026,0.756097561,0.024390244,0.023809524,0.023809524,0.023809524,0.023809524,0.023255814,0.022727273,0.021276596,0.021276596,0.020408163
0.976851852,0.00456621,0.004524887,0.004524887,0.004504505,0.004504505,0.004504505,0.004504505,0.004484305,0.004464286,0.004405286,0.004405286,0.004366812
0.015151515,0.014492754,0.014084507,0.436619718,0.013888889,0.013888889,0.013888889,0.013888889,0.01369863,0.013513514,0.402597403,0.012987013,0.012658228
0.027777778,0.025641026,0.024390244,0.024390244,0.023809524,0.023809524,0.023809524,0.023809524,0.023255814,0.022727273,0.021276596,0.021276596,0.428571429
0.807692308,0.034482759,0.032258065,0.032258065,0.03125,0.03125,0.03125,0.03125,0.03030303,0.029411765,0.027027027,0.027027027,0.025641026
0.0625,0.578947368,0.523809524,0.047619048,0.045454545,0.045454545,0.045454545,0.045454545,0.043478261,0.041666667,0.037037037,0.037037037,0.034482759
0.891304348,0.020408163,0.019607843,0.019607843,0.019230769,0.019230769,0.019230769,0.019230769,0.018867925,0.018518519,0.01754386,0.01754386,0.016949153
0.476744186,0.011235955,0.450549451,0.010989011,0.010869565,0.010869565,0.010869565,0.010869565,0.010752688,0.010638298,0.010309278,0.010309278,0.01010101
0.00862069,0.008403361,0.008264463,0.008264463,0.008196721,0.5,0.008196721,0.254098361,0.008130081,0.008064516,0.007874016,0.007874016,0.007751938
0.015151515,0.15942029,0.154929577,0.014084507,0.013888889,0.013888889,0.013888889,0.013888889,0.01369863,0.013513514,0.012987013,0.012987013,0.64556962
0.456521739,0.428571429,0.019607843,0.019607843,0.019230769,0.019230769,0.019230769,0.019230769,0.018867925,0.018518519,0.01754386,0.01754386,0.016949153
0.038461538,0.034482759,0.677419355,0.032258065,0.03125,0.03125,0.03125,0.03125,0.03030303,0.617647059,0.027027027,0.027027027,0.025641026
0.02173913,0.020408163,0.019607843,0.215686275,0.019230769,0.019230769,0.019230769,0.019230769,0.018867925,0.018518519,0.01754386,0.01754386,0.016949153
0.02173913,0.020408163,0.019607843,0.019607843,0.019230769,0.019230769,0.019230769,0.019230769,0.018867925,0.018518519,0.01754386,0.01754386,0.694915254
0.924242424,0.014492754,0.014084507,0.014084507,0.013888889,0.013888889,0.013888889,0.013888889,0.01369863,0.013513514,0.012987013,0.012987013,0.012658228
0.02173913,0.428571429,0.019607843,0.215686275,0.019230769,0.019230769,0.211538462,0.211538462,0.018867925,0.018518519,0.01754386,0.01754386,0.016949153
0.0625,0.052631579,0.047619048,0.047619048,0.045454545,0.045454545,0.045454545,0.045454545,0.47826087,0.041666667,0.037037037,0.407407407,0.034482759
0.00862069,0.008403361,0.008264463,0.008264463,0.008196721,0.008196721,0.745901639,0.008196721,0.008130081,0.25,0.007874016,0.086614173,0.007751938
0.456521739,0.020408163,0.411764706,0.019607843,0.019230769,0.019230769,0.019230769,0.019230769,0.20754717,0.018518519,0.01754386,0.192982456,0.016949153
0.0625,0.052631579,0.047619048,0.047619048,0.045454545,0.045454545,0.045454545,0.5,0.043478261,0.041666667,0.037037037,0.037037037,0.034482759
0.017857143,0.525423729,0.016393443,0.344262295,0.016129032,0.016129032,0.016129032,0.016129032,0.015873016,0.015625,0.014925373,0.014925373,0.014492754
0.038461538,0.034482759,0.032258065,0.032258065,0.03125,0.03125,0.03125,0.03125,0.03030303,0.029411765,0.027027027,0.027027027,0.025641026
0.112903226,0.26984127,0.005235602,0.267015707,0.005208333,0.005208333,0.317708333,0.005208333,0.005181347,0.108247423,0.005076142,0.005076142,0.055276382
0.006024096,0.124260355,0.122807018,0.005847953,0.005813953,0.819767442,0.005813953,0.005813953,0.005780347,0.005747126,0.062146893,0.005649718,0.005586592
0.017857143,0.016949153,0.180327869,0.016393443,0.016129032,0.016129032,0.016129032,0.177419355,0.015873016,0.015625,0.014925373,0.014925373,0.014492754
0.038461538,0.724137931,0.032258065,0.032258065,0.03125,0.03125,0.03125,0.03125,0.03030303,0.029411765,0.027027027,0.027027027,0.025641026
0.007352941,0.654676259,0.078014184,0.007092199,0.007042254,0.077464789,0.007042254,0.288732394,0.006993007,0.145833333,0.006802721,0.006802721,0.006711409
0.375,0.016949153,0.180327869,0.016393443,0.016129032,0.016129032,0.016129032,0.661290323,0.015873016,0.015625,0.164179104,0.014925373,0.014492754
0.006410256,0.006289308,0.00621118,0.00621118,0.00617284,0.00617284,0.00617284,0.932098765,0.006134969,0.006097561,0.005988024,0.005988024,0.00591716
0.038461538,0.034482759,0.032258065,0.032258065,0.65625,0.03125,0.03125,0.03125,0.03030303,0.029411765,0.027027027,0.027027027,0.025641026
0.48630137,0.006711409,0.006622517,0.006622517,0.006578947,0.006578947,0.006578947,0.006578947,0.006535948,0.006493506,0.006369427,0.006369427,0.509433962
0.009433962,0.009174312,0.63963964,0.009009009,0.008928571,0.008928571,0.008928571,0.008928571,0.008849558,0.00877193,0.008547009,0.35042735,0.092436975
0.807692308,0.034482759,0.032258065,0.032258065,0.03125,0.03125,0.03125,0.03125,0.03030303,0.029411765,0.027027027,0.027027027,0.025641026
0.027777778,0.794871795,0.024390244,0.024390244,0.023809524,0.023809524,0.023809524,0.023809524,0.023255814,0.022727273,0.021276596,0.021276596,0.020408163
0.583333333,0.025641026,0.024390244,0.024390244,0.023809524,0.023809524,0.023809524,0.261904762,0.023255814,0.022727273,0.021276596,0.021276596,0.020408163
0.807692308,0.034482759,0.032258065,0.032258065,0.03125,0.03125,0.03125,0.03125,0.03030303,0.029411765,0.027027027,0.027027027,0.025641026
0.126506024,0.00591716,0.005847953,0.824561404,0.005813953,0.005813953,0.005813953,0.005813953,0.063583815,0.005747126,0.005649718,0.118644068,0.117318436
0.456521739,0.428571429,0.019607843,0.019607843,0.019230769,0.019230769,0.019230769,0.019230769,0.018867925,0.018518519,0.01754386,0.01754386,0.016949153
0.027777778,0.025641026,0.024390244,0.268292683,0.023809524,0.023809524,0.023809524,0.023809524,0.023255814,0.022727273,0.446808511,0.021276596,0.020408163
0.244186047,0.573033708,0.120879121,0.010989011,0.010869565,0.010869565,0.010869565,0.445652174,0.010752688,0.010638298,0.010309278,0.216494845,0.111111111
0.02173913,0.020408163,0.019607843,0.019607843,0.019230769,0.019230769,0.596153846,0.019230769,0.018867925,0.759259259,0.01754386,0.01754386,0.016949153
0.93902439,0.004016064,0.003984064,0.003984064,0.003968254,0.003968254,0.003968254,0.003968254,0.003952569,0.003937008,0.003891051,0.003891051,0.003861004
0.467592593,0.095890411,0.049773756,0.230769231,0.004504505,0.004504505,0.094594595,0.004504505,0.004484305,0.09375,0.004405286,0.004405286,0.004366812
0.0625,0.052631579,0.047619048,0.047619048,0.045454545,0.045454545,0.045454545,0.045454545,0.47826087,0.041666667,0.037037037,0.407407407,0.379310345
